word,frequency
"estimated,",1
lagging,1
investing.,1
research.,1
(01:11:33)good,1
pennsylvania.mark,1
"(01:11:34)yes,",1
know.,1
right?joe,1
(01:11:36)yep.mark,1
"(01:11:37)so,",1
pieces,1
breaking,1
troops,1
serbia,1
kosovo,1
arabs,1
israelis,1
peace,1
modern,1
miracle,1
trump's,1
policy,1
deserves,1
credit?joe,1
(01:11:57)a,1
lot.,1
allies-joe,1
(01:12:03)were,1
allies',1
"alone,",1
alone.,1
iran,1
having,1
nuclear,1
bomb.,1
bombs,1
missiles,1
publicly,1
count,1
far,1
"east,",1
"ourselves,",1
western,1
"pacific,",1
japan,1
south,1
china,1
compliment,1
israel,1
recently.,1
trusted,1
17,1
nations,1
trust,1
"both,",1
"survey,",1
"putin,",1
xi.,1
doing.,1
bounties,1
militaries,1
heads,1
"times,",1
hadn't,1
risk,1
crack,1
belarus,1
"poland,",1
"hungary,",1
totalitarian,1
regimes,1
embraces,1
thugs,1
leader,1
"korea,",1
sending,1
letters.joe,1
(01:13:57)he,1
steal,1
xi,1
respectfully,1
"suggest,",1
coherent,1
policy.,1
effective,1
humble,1
"opinion,",1
exercise,1
power.,1
powerful,1
power,1
example.,1
led,1
rest,1
pulled,1
organization.,1
laughed,1
"at,",1
"literally,",1
"figuratively,",1
nations.,1
se.,1
lack,1
respect,1
shown,1
"(01:15:04)hi,",1
mieke.,1
you?mieke,1
(01:15:06)i'm,1
"girls,",1
10.,1
youngest,1
administration,1
attacked,1
military,1
"service,",1
weakening,1
non-discrimination,1
"protections,",1
removing,1
websites.,1
reverse,1
discriminatory,1
agenda,1
protected,1
law?joe,1
(01:15:51)i,1
flat,1
law.,1
"orders,",1
"recall,",1
said',1
raised,1
"who,",1
"educated,",1
well-read,1
decent,1
"city,",1
"wilmington,",1
capital,1
lifeguard,1
african-american,1
swimming,1
pool,1
complex.joe,1
(01:16:26)and,1
"men,",1
"well-dressed,",1
leaned,1
hugged,1
kissed,1
car,1
"light,",1
dad.,1
looked,1
"'cjoey,",1
simple.,1
other.',1
idea,1
"decides,",1
decided,1
it'd,1
easier.',1
discrimination.,1
too,1
17.,1
"number,",1
it's',1
higher,1
