Day,Close,volume
2018/8/17,3229.62,67395413
2018/8/20,3267.25,70904228
2018/8/21,3326.65,75205583
2018/8/22,3307.95,50787057
2018/8/23,3320.03,61112334
2018/8/24,3325.33,63765897
2018/8/27,3406.57,94270082
2018/8/28,3400.17,75445363
2018/8/29,3386.57,67020404
2018/8/30,3351.09,68385290
2018/8/31,3334.5,76205630
2018/9/3,3321.82,66429855
2018/9/4,3363.9,67088807
2018/9/5,3298.14,64301888
2018/9/6,3262.88,62300288
2018/9/7,3277.64,63947408
2018/9/10,3230.07,63817051
2018/9/11,3224.21,58491305
2018/9/12,3202.02,54627899
2018/9/13,3236.57,67290327
2018/9/14,3242.09,60130640
2018/9/17,3204.92,52259547
2018/9/18,3269.43,70425035
2018/9/19,3312.48,89170666
2018/9/20,3310.13,64561057
2018/9/21,3410.49,108416005
2018/9/25,3379.8,69054693
2018/9/26,3417.24,93173343
2018/9/27,3403.59,69765241
2018/9/28,3438.86,84377756
2018/10/8,3290.9,97888989
2018/10/9,3288.69,66723274
2018/10/10,3281.6,64492828
2018/10/11,3124.11,120941342
2018/10/12,3170.73,98611151
2018/10/15,3126.45,69605023
2018/10/16,3100.97,68887721
2018/10/17,3118.25,76837138
2018/10/18,3044.39,73771968
2018/10/19,3134.95,98839688
2018/10/22,3270.27,145862045
2018/10/23,3183.43,121013241
2018/10/24,3188.2,110909744
2018/10/25,3194.31,106951817
2018/10/26,3173.64,101299354
2018/10/29,3076.89,91839789
2018/10/30,3110.26,116070101
2018/10/31,3153.82,111207455
2018/11/1,3177.03,132653379
2018/11/2,3290.25,153466104
2018/11/5,3262.84,109706683
2018/11/6,3243.15,83869138
2018/11/7,3221.91,91615528
2018/11/8,3212.77,76414540
2018/11/9,3167.44,84282762
2018/11/12,3205.14,88062391
2018/11/13,3237.38,126493464
2018/11/14,3204.94,113808659
2018/11/15,3242.37,98558810
2018/11/16,3257.67,126876835
2018/11/19,3294.6,115956595
2018/11/20,3218.41,109361154
2018/11/21,3226.49,84119726
2018/11/22,3214.43,65098291
2018/11/23,3143.48,84638255
2018/11/26,3141.24,59379140
2018/11/27,3137.24,55407832
2018/11/28,3178.93,74881955
2018/11/29,3137.65,80498466
2018/11/30,3172.69,70921044
2018/12/3,3260.95,121487157
2018/12/4,3267.71,79415039
2018/12/5,3252,76153052
2018/12/6,3181.67,76328771
2018/12/7,3181.56,53361924
2018/12/10,3144.76,63437273
2018/12/11,3159.82,53223877
2018/12/12,3170.61,53309914
2018/12/13,3219.69,90442755
2018/12/14,3165.91,84301250
2018/12/17,3161.2,66497007
2018/12/18,3128.43,63820319
2018/12/19,3091.13,55522299
2018/12/20,3067.42,69749463
2018/12/21,3029.4,76758101
2018/12/24,3038.2,57299615
2018/12/25,3017.28,78689425
2018/12/26,3002.03,55647032
2018/12/27,2990.51,80541785
2018/12/28,3010.65,71053779
2019/1/2,2969.54,68663021
2019/1/3,2964.84,70867103
2019/1/4,3035.87,103318972
2019/1/7,3054.3,101164359
2019/1/8,3047.7,86170585
2019/1/9,3078.48,107364350
2019/1/10,3072.69,85271756
2019/1/11,3094.78,71786424
2019/1/14,3067.78,66121702
2019/1/15,3127.99,88772962
2019/1/16,3128.65,80214341
2019/1/17,3111.42,80174871
2019/1/18,3168.17,103963834
2019/1/21,3185.64,93915022
2019/1/22,3143.32,72990528
2019/1/23,3141.05,59870478
2019/1/24,3158.78,72934636
2019/1/25,3184.47,83967729
2019/1/28,3183.78,82622431
2019/1/29,3193.97,77658334
2019/1/30,3168.48,63746517
2019/1/31,3201.63,86247839
2019/2/1,3247.4,82019641
2019/2/11,3306.47,98818434
2019/2/12,3330.34,122232462
2019/2/13,3397.03,163828332
2019/2/14,3402.14,151127290
2019/2/15,3338.7,143668603
2019/2/18,3445.74,182886089
2019/2/19,3439.61,179083785
2019/2/20,3451.93,147390311
2019/2/21,3442.71,180143287
2019/2/22,3520.12,187237974
2019/2/25,3729.48,342557122
2019/2/26,3684.69,358038698
2019/2/27,3678.39,286236007
2019/2/28,3669.37,184810220
2019/3/1,3749.71,204711004
2019/3/4,3794.1,323490126
2019/3/5,3816.01,230853166
2019/3/6,3848.09,318077371
2019/3/7,3808.85,329846548
2019/3/8,3657.58,317990077
