Day,Year,Month,Day_num,Last_day_value,Today_value
2016/10/25,2016,10,42668,-376.52747467333324,-354.9569581
2016/10/26,2016,10,42669,-375.9714668191666,-354.0026863
2016/10/27,2016,10,42670,-375.40144223666664,-350.9026153
2016/10/28,2016,10,42671,-374.87003880583336,-350.68817010000004
2016/10/31,2016,10,42674,-374.4096344991667,-349.85260389999996
2016/11/1,2016,11,42675,-373.9262318091667,-350.9584005
2016/11/2,2016,11,42676,-373.4695946166667,-352.6363113
2016/11/3,2016,11,42677,-372.9646584033334,-351.9299569
2016/11/4,2016,11,42678,-372.45138225750003,-353.1263058
2016/11/7,2016,11,42681,-371.94522360916665,-352.62574689999997
2016/11/8,2016,11,42682,-371.4414468183333,-347.8987601
2016/11/9,2016,11,42683,-370.95749131083335,-351.1214854
2016/11/10,2016,11,42684,-370.4117623991667,-348.7368865
2016/11/11,2016,11,42685,-369.9060342666667,-352.76606119999997
2016/11/14,2016,11,42688,-369.401309045,-356.94672349999996
2016/11/15,2016,11,42689,-368.8233153525,-353.8385965
2016/11/16,2016,11,42690,-368.2637212941667,-354.7890744
2016/11/17,2016,11,42691,-367.76699344666673,-356.8114023
2016/11/18,2016,11,42692,-367.3048814566667,-357.9160869
2016/11/21,2016,11,42695,-366.82620767833333,-358.4158567
2016/11/22,2016,11,42696,-366.35084185,-359.0319007
2016/11/23,2016,11,42697,-365.84669219833336,-354.808227
2016/11/24,2016,11,42698,-365.30821018166665,-350.8582333
2016/11/25,2016,11,42699,-364.8004882075,-350.9422585
2016/11/28,2016,11,42702,-364.34291500666666,-348.3348989
2016/11/29,2016,11,42703,-363.84112260583333,-343.5876546
2016/11/30,2016,11,42704,-363.41413724250003,-348.62210600000003
2016/12/1,2016,12,42705,-363.10759877,-346.71434669999996
2016/12/2,2016,12,42706,-362.73163466166665,-346.1023697
