Year,Season,Month,Day,Day_Num,Volume,Close,C1,C2,G,NX(yi mei yuan),ISM,GDP Season,new_cases,new_deaths,GDP_per_day
2019,1,2,2019/2/13,43509,263330000,25543.26953,7.596425174,-1.628297221,1388.75,-500,56.6,1.89E+13,0,0,3.06E+11
2019,1,2,2019/2/14,43510,313010000,25439.39063,6.437080209,0.273528493,1388.75,-500,56.6,1.89E+13,0,0,3.05E+11
2019,1,2,2019/2/15,43511,328530000,25883.25,8.845225473,-0.827926924,1388.75,-500,56.6,1.89E+13,0,0,3.10E+11
2019,1,2,2019/2/19,43515,280620000,25891.32031,11.17111518,-0.235904294,1388.75,-500,56.6,1.89E+13,0,0,3.16E+11
2019,1,2,2019/2/20,43516,287880000,25954.43945,9.172220763,-0.746201298,1388.75,-500,56.6,1.89E+13,0,0,3.19E+11
2019,1,2,2019/2/21,43517,255710000,25850.63086,9.318786803,-1.149554523,1388.75,-500,56.6,1.89E+13,0,0,3.25E+11
2019,1,2,2019/2/22,43518,279760000,26031.81055,9.915051072,-1.239518263,1388.75,-500,56.6,1.89E+13,0,0,3.17E+11
2019,1,2,2019/2/25,43521,281600000,26091.94922,8.898842016,-0.944474148,1388.75,-500,56.6,1.89E+13,0,0,3.14E+11
2019,1,2,2019/2/26,43522,257850000,26057.98047,8.686156598,-0.911597747,1388.75,-500,56.6,1.89E+13,0,0,3.14E+11
2019,1,2,2019/2/27,43523,255380000,25985.16016,7.539073158,-0.858778698,1388.75,-500,56.6,1.89E+13,0,0,3.16E+11
2019,1,2,2019/2/28,43524,338520000,25916,8.096404973,-0.927946632,1388.75,-500,56.6,1.89E+13,0,0,3.20E+11
2019,1,3,2019/3/1,43525,289890000,26026.32031,7.357229369,-3.307162248,1388.75,-519.1,54.2,1.89E+13,0,0,3.18E+11
2019,1,3,2019/3/4,43528,295510000,25819.65039,7.570395323,-3.375186707,1388.75,-519.1,54.2,1.89E+13,0,0,3.20E+11
2019,1,3,2019/3/5,43529,252260000,25806.63086,7.963441222,-3.194608479,1388.75,-519.1,54.2,1.89E+13,0,0,3.14E+11
2019,1,3,2019/3/6,43530,256250000,25673.46094,8.073756615,-3.457703932,1388.75,-519.1,54.2,1.89E+13,0,0,3.15E+11
2019,1,3,2019/3/7,43531,289140000,25473.23047,7.046271696,-3.334613183,1388.75,-519.1,54.2,1.89E+13,0,0,3.10E+11
2019,1,3,2019/3/8,43532,270500000,25450.24023,6.640087885,-2.804451712,1388.75,-519.1,54.2,1.89E+13,0,0,3.08E+11
2019,1,3,2019/3/11,43535,309790000,25650.88086,8.640016863,-3.555776785,1388.75,-519.1,54.2,1.89E+13,0,0,3.08E+11
2019,1,3,2019/3/12,43536,317730000,25554.66016,8.807604764,-3.515882888,1388.75,-519.1,54.2,1.89E+13,0,0,3.22E+11
2019,1,3,2019/3/13,43537,331410000,25702.89063,9.919126004,-3.394437781,1388.75,-519.1,54.2,1.89E+13,0,0,3.20E+11
2019,1,3,2019/3/14,43538,302790000,25709.93945,8.923196829,-2.924963236,1388.75,-519.1,54.2,1.89E+13,0,0,3.22E+11
2019,1,3,2019/3/15,43539,616910000,25848.86914,9.717829991,-2.807689633,1388.75,-519.1,54.2,1.89E+13,0,0,3.28E+11
2019,1,3,2019/3/18,43542,399530000,25914.09961,10.74524465,-3.348687722,1388.75,-519.1,54.2,1.89E+13,0,0,3.26E+11
2019,1,3,2019/3/19,43543,342250000,25887.38086,11.46493693,-3.704144607,1388.75,-519.1,54.2,1.89E+13,0,0,3.17E+11
2019,1,3,2019/3/20,43544,321980000,25745.66992,10.63297522,-4.043382591,1388.75,-519.1,54.2,1.89E+13,0,0,3.10E+11
2019,1,3,2019/3/21,43545,335250000,25962.50977,11.83518443,-4.427883597,1388.75,-519.1,54.2,1.89E+13,0,0,3.14E+11
2019,1,3,2019/3/22,43546,386510000,25502.32031,11.4311601,-5.297952551,1388.75,-519.1,54.2,1.89E+13,0,0,3.18E+11
2019,1,3,2019/3/25,43549,303120000,25516.83008,11.59234272,-5.393513463,1388.75,-519.1,54.2,1.89E+13,0,0,3.11E+11
2019,1,3,2019/3/26,43550,305110000,25657.73047,12.86382157,-6.012488997,1388.75,-519.1,54.2,1.89E+13,0,0,3.17E+11
2019,1,3,2019/3/27,43551,270340000,25625.58984,11.97884741,-6.168781849,1388.75,-519.1,54.2,1.89E+13,0,0,3.21E+11
2019,1,3,2019/3/28,43552,237170000,25717.46094,12.26647905,-6.129829689,1388.75,-519.1,54.2,1.89E+13,0,0,3.13E+11
